"cue","target","cosine","fake_cue","fake_target"
"super","mega",0.52873213276105,"tuper","megl"
"super","neverjetno",0.515865620531691,"suyer","neverjetho"
"super","odlično",0.490203254112806,"supez","bdlično"
"jack","jackson",0.470335228827437,"jacž","jackdon"
"jack","charley",0.467896433122942,"jock","chžrley"
"jack","rick",0.461945273057106,"jgck","ricq"
"jack","dick",0.458652181428804,"jajk","digk"
"jack","sean",0.453167545177367,"jock","skan"
"orožje","strelivo",0.590723394813535,"orožfe","stlelivo"
"orožje","orodje",0.562333724847847,"oroaje","orodjv"
"orožje","razstrelivo",0.486626476202846,"orocje","razstrelgvo"
"orožje","mamilo",0.449111857823931,"orožee","mamiln"
"orožje","kladivo",0.439626401604362,"orzžje","klawivo"
"rit","riti",0.592348373039799,"ria","rita"
"rit","ritka",0.530780495769083,"rht","ritša"
"rit","zadnjica",0.521297554926642,"riq","zzdnjica"
"rit","pičko",0.49374827575629,"rvt","pičmo"
"rit","mednožje",0.482413372247174,"rib","medfožje"
"razen","vključno",0.321837622110277,"rawen","vključno"
"razen","zgubiti",0.306897938845659,"rvzen","zgubčti"
"razen","hopper",0.293227914443886,"rasen","dopper"
"razen","korist",0.293189874989631,"razeš","xorist"
"razen","izgubiti",0.281210510010964,"razed","azgubiti"
"srce","srčece",0.473469066896229,"brce","srčece"
"srce","telo",0.451149816608239,"brce","tnlo"
"srce","črevo",0.419497231338135,"srce","nrevo"
"srce","oko",0.403396875241805,"srce","olo"
"srce","duša",0.402350865518935,"srne","dcša"
"ljubezen","ijubezen",0.868578753527069,"lkubezen","ijubezsn"
"ljubezen","strast",0.631165471662273,"ltubezen","wtrast"
"ljubezen","ljubezenska",0.569241165986113,"ljubezln","ljuuezenska"
"ljubezen","ljubezensko",0.527815300742777,"ljubezen","ljubezensho"
"ljubezen","vdanost",0.511408198078939,"ljubnzen","vdakost"
"pol","napol",0.535014868159366,"pcl","napkl"
"pol","polovica",0.509307282271621,"pwl","počovica"
"pol","poi",0.439206373313956,"poč","poj"
"pol","četrt",0.424569050197884,"pčl","četra"
"pol","kilometer",0.422921635061341,"bol","ktlometer"
"točno","natanko",0.811317561066692,"iočno","natanco"
"točno","natančno",0.703532050351549,"točnc","natanvno"
"točno","tocno",0.588491000713642,"tyčno","tvcno"
