"word_combo","en_cue","en_target","type","cue_type","target_type","en_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"inabilitymissile","inability","missile","unrelated","word","word",0.11549112810905,0.167384725900062,1.01222489081801,0.0674816593878674,225,261,296,6,0.881756756756757,262,296,6,0.885135135135135,TRUE,TRUE,TRUE
"inabilityunable","inability","unable","related","word","word",0.592650132917923,-0.33858129289561,0.720382855564605,0.0442527670424235,265,295,304,4,0.970394736842105,275,303,5,0.907590759075908,TRUE,TRUE,TRUE
"inabilityvezes","inability","vezes","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inchinefugitive","inchine","fugitive","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inchineprinks","inchine","prinks","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inciablyogg","inciably","ogg","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inciablywire","inciably","wire","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"incidentaccident","incident","accident","related","word","word",0.631125350630142,-0.503028854055743,0.619134871289293,0.0397994969052472,242,269,277,1,0.971119133574007,264,277,1,0.953068592057762,TRUE,TRUE,TRUE
"incidentbeplete","incident","beplete","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"incidenthug","incident","hug","unrelated","word","word",0.0584953283688377,-0.401063457636597,0.564653514006454,0.0350183243723272,260,289,297,3,0.973063973063973,276,297,3,0.929292929292929,TRUE,TRUE,TRUE
"increasealley","increase","alley","unrelated","word","word",0.113780641368472,0.0016611088320009,0.936522863690132,0.0668944902635808,196,219,243,3,0.901234567901235,236,243,3,0.97119341563786,TRUE,TRUE,TRUE
"increaseolt","increase","olt","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"increasereduce","increase","reduce","related","word","word",0.655523972029757,-0.330226812805691,0.761849189942349,0.0461092105494534,273,304,313,3,0.971246006389776,297,312,4,0.951923076923077,TRUE,TRUE,TRUE
"indact","ind","act","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"indsnith","ind","snith","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"industryalpha","industry","alpha","unrelated","word","word",0.0351593850206581,-0.108513542056588,0.797858794518528,0.0537916289529479,220,260,283,5,0.918727915194346,265,283,5,0.936395759717314,TRUE,TRUE,TRUE
"industrybusiness","industry","business","related","word","word",0.450651025503008,-0.411547660106443,0.857382379628658,0.0518911422176359,273,301,303,5,0.993399339933993,293,302,6,0.970198675496689,TRUE,TRUE,TRUE
"industrystice","industry","stice","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inentryholiday","inentry","holiday","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inentrypuska","inentry","puska","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"infariheadcounters","infari","headcounters","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"infaristorm","infari","storm","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"infludownarnels","infludown","arnels","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"infludownhide","infludown","hide","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"influenceeffect","influence","effect","related","word","word",0.457484152891602,-0.338545978685252,1.05084452483618,0.0637168084117877,272,308,321,4,0.959501557632399,305,321,4,0.950155763239875,TRUE,TRUE,TRUE
"influenceexhibivores","influence","exhibivores","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"influencetriple","influence","triple","unrelated","word","word",0.0231720308844506,-0.226898101531393,0.765143382455572,0.0487837602808189,246,292,301,6,0.970099667774086,285,302,5,0.943708609271523,TRUE,TRUE,TRUE
"inibycool","iniby","cool","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inibyflree","iniby","flree","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"injusholdcousin","injushold","cousin","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"injusholderell","injushold","erell","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"injusticeassishole","injustice","assishole","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"injusticesmell","injustice","smell","unrelated","word","word",0.118314126116518,-0.445784691970569,0.644763285279498,0.0399098454347078,261,301,312,2,0.96474358974359,288,311,3,0.92604501607717,TRUE,TRUE,TRUE
"injusticeunfair","injustice","unfair","related","word","word",0.401872251903289,-0.255998254863382,0.944289881127176,0.0598419397195168,249,284,297,7,0.956228956228956,274,299,5,0.916387959866221,TRUE,TRUE,TRUE
"inkeboston","inke","boston","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inkewillical","inke","willical","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"innocentdevtery","innocent","devtery","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"innocentexpress","innocent","express","unrelated","word","word",0.119007117720727,-0.383719702046071,0.660795672752025,0.0414620080878433,254,291,300,3,0.97,283,300,3,0.943333333333333,TRUE,TRUE,TRUE
"innocentguilty","innocent","guilty","related","word","word",0.547932429940545,-0.433888233633786,0.658603812281973,0.0400073324253773,271,299,302,4,0.990066225165563,291,302,4,0.963576158940397,TRUE,TRUE,TRUE
"innogledexplohead","innogled","explohead","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"innogledhorse","innogled","horse","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inressedaccrossity","inressed","accrossity","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inressedreturn","inressed","return","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"insertanynal","insert","anynal","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"insertdead","insert","dead","unrelated","word","word",0.0848740198191958,-0.453062120046384,0.78927580684023,0.0495235686857006,254,292,298,3,0.979865771812081,277,298,3,0.929530201342282,TRUE,TRUE,TRUE
"insertput","insert","put","related","word","word",0.445568031490613,-0.406107362696679,0.617336188886524,0.0393599178165318,246,281,294,4,0.95578231292517,273,293,5,0.931740614334471,TRUE,TRUE,TRUE
"inspectorassasnees","inspector","assasnees","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inspectorcommissioner","inspector","commissioner","related","word","word",0.683832448142064,0.366088264224787,1.3169719830275,0.08329262161991,250,282,299,4,0.94314381270903,287,301,2,0.953488372093023,TRUE,TRUE,TRUE
