"word_combo","he_cue","he_target","type","cue_type","target_type","he_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"שגעוןטפשות","שגעון","טפשות","related","word","word",0.273019875951407,0.0801354880462111,1.77491523997495,0.561277481206518,10,11,11,0,1,10,11,0,0.909090909090909,FALSE,FALSE,FALSE
"שגעוןנמל","שגעון","נמל","unrelated","word","word",0.092000847576999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגעוןצבום","שגעון","צבום","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגריראלאכות","שגריר","אלאכות","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגרירותדג","שגרירות","דג","unrelated","word","word",0.0879654473192024,-0.412129468543328,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"שגרירותמרחקב","שגרירות","מרחקב","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגרירותמשרד ממשלתי","שגרירות","משרד ממשלתי","related","word","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגרירצלקת","שגריר","צלקת","unrelated","word","word",0.0882099730236099,-0.277076441199881,0.51394015687236,0.181705285024262,8,8,8,0,1,8,8,0,1,FALSE,FALSE,FALSE
"שגרירשר","שגריר","שר","related","word","word",0.230016330055286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגתמתלו","שגת","מתלו","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שגתרביעי","שגת","רביעי","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שדישלבבץ","שדיש","לבבץ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שדישמעורר רחמים","שדיש","מעורר רחמים","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שדרהדירכה","שדרה","דירכה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שדרהסגור","שדרה","סגור","unrelated","word","word",0.0942895950909672,-0.693215767963575,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"שדרהרחוב","שדרה","רחוב","related","word","word",0.444654050136541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שהותאנורה","שהות","אנורה","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שהותלהשאר","שהות","להשאר","related","word","word",0.28200125918657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שהותצילום","שהות","צילום","unrelated","word","word",0.0823167756565709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שהירטלויזיה","שהיר","טלויזיה","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שהירמחפעה","שהיר","מחפעה","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שוגהבוקר","שוגה","בוקר","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שוגהונליח","שוגה","ונליח","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שודדיםמלח","שודדים","מלח","related","word","word",0.111985462436214,-0.765285086668635,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"שודדיםנוהל","שודדים","נוהל","unrelated","word","word",0.112266583760969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שודדיםשמייבו","שודדים","שמייבו","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שוחדבנות","שוחד","בנות","unrelated","word","word",0.0953596773478555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שוחדסחיטה","שוחד","סחיטה","related","word","word",0.440268261623202,-1.03139360040357,NA,NA,1,1,1,0,1,0,1,0,0,FALSE,FALSE,FALSE
"שוחדרווקטי","שוחד","רווקטי","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שוחיל מכיבתהסמרך כלל","שוחיל מכיבתה","סמרך כלל","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"שוחיל מכיבתהקרינה","שוחיל מכיבתה","קרינה","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
