"word_combo","zh_cue","zh_target","type","cue_type","target_type","zh_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"肮脏真力","肮脏","真力","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"肮脏选开","肮脏","选开","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"育资动脉","育资","动脉","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"育资发底","育资","发底","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"肿瘤厄运","肿瘤","厄运","unrelated","word","word",-0.318817205156832,-0.0712527408707062,0.419230010775443,0.139743336925148,9,12,12,1,1,12,12,1,1,FALSE,FALSE,FALSE
"肿瘤灵亮","肿瘤","灵亮","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"肿瘤癌症","肿瘤","癌症","related","word","word",0.830363173557509,-0.53283887286717,0.403051785158582,0.107720120656502,14,14,14,0,1,13,14,0,0.928571428571429,FALSE,FALSE,FALSE
"胃部劝盈","胃部","劝盈","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"胃部扑克","胃部","扑克","unrelated","word","word",NA,-0.354593721000552,0.57407044089558,0.101482275409004,32,32,33,0,0.96969696969697,32,33,0,0.96969696969697,FALSE,FALSE,FALSE
"胃部胸膛","胃部","胸膛","related","word","word",NA,-0.0997677587626628,1.09603692884599,0.187968782561029,34,38,39,0,0.974358974358974,37,39,0,0.948717948717949,FALSE,FALSE,FALSE
"胜利失败","胜利","失败","related","word","word",0.873645367149854,-0.303490467058997,0.68429957657323,0.216394526386021,10,12,12,0,1,12,12,0,1,FALSE,FALSE,FALSE
"胜利安火","胜利","安火","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"胜利选手","胜利","选手","unrelated","word","word",0.872775592693895,0.0746280289800418,0.952201880899791,0.138892919261727,47,49,50,0,0.98,49,50,0,0.98,FALSE,TRUE,FALSE
"胧业女孩们","胧业","女孩们","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"胧业记细","胧业","记细","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"脉冲压力","脉冲","压力","related","word","word",0.965343032703865,-0.708366288640268,0.443644587661829,0.0853794407036926,27,29,29,0,1,25,29,0,0.862068965517241,FALSE,FALSE,FALSE
"脉冲基督教","脉冲","基督教","unrelated","word","word",0.888565839589692,-0.23889360255306,0.352656046431462,0.043741599120406,65,70,71,1,0.985915492957746,53,71,1,0.746478873239437,TRUE,TRUE,TRUE
"脉冲腔言","脉冲","腔言","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"能够提供","能够","提供","related","word","word",0.656350079652569,-0.680558583195298,0.554756473335635,0.196136032101381,8,11,12,1,0.916666666666667,11,12,1,0.916666666666667,FALSE,FALSE,FALSE
"能够积饭","能够","积饭","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"能够颅骨","能够","颅骨","unrelated","word","word",0.670979419713684,0.698193328880241,1.75137119025547,0.373393592367045,22,25,27,0,0.925925925925926,25,27,0,0.925925925925926,FALSE,FALSE,FALSE
"能手专家","能手","专家","related","word","word",0.682890764657248,-0.639044497942612,0.363629940355513,0.109638552245323,11,13,13,2,1,9,13,2,0.692307692307692,FALSE,FALSE,FALSE
"能手冻计","能手","冻计","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"能手困惑","能手","困惑","unrelated","word","word",0.695195036148117,-0.388828430288727,0.678842521276057,0.135768504255211,25,26,28,2,0.928571428571429,22,29,1,0.758620689655172,FALSE,FALSE,FALSE
"能量俸植","能量","俸植","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"能量活力","能量","活力","related","word","word",0.793236191917278,-0.890550648590549,0.15926399717439,0.0601961327613615,7,11,11,1,1,11,11,1,1,FALSE,FALSE,FALSE
"能量海岸","能量","海岸","unrelated","word","word",0.811900826377087,-0.163250410437423,0.99357560755504,0.17295931277794,33,35,35,0,1,34,35,0,0.971428571428571,FALSE,FALSE,FALSE
