"word_combo","pl_cue","pl_target","type","cue_type","target_type","pl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"planetaorbita","planeta","orbita","related","word","word",0.591261379595921,-0.267257911498587,0.601766603242249,0.0897060687625876,45,48,50,2,0.96,49,50,2,0.98,TRUE,TRUE,FALSE
"planprzyjazny","plan","przyjazny","unrelated","word","word",0.148909693384758,-0.502268130806186,0.707014132095451,0.119507200378732,35,37,38,1,0.973684210526316,38,38,1,1,FALSE,FALSE,FALSE
"planstrategia","plan","strategia","related","word","word",0.443984951114446,-0.375882302207127,0.79109558097325,0.161481709262923,24,25,27,0,0.925925925925926,26,27,0,0.962962962962963,FALSE,FALSE,FALSE
"platformadokubent","platforma","dokubent","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"platformanieodpowiedzialny","platforma","nieodpowiedzialny","unrelated","word","word",0.11486127777663,0.660707478464473,1.28187563933055,0.189002251810205,46,51,51,0,1,48,51,0,0.941176470588235,FALSE,TRUE,FALSE
"platformastacja","platforma","stacja","related","word","word",0.457124039776097,-0.397236006248497,0.880647249641095,0.135886820754524,42,42,45,0,0.933333333333333,41,45,0,0.911111111111111,FALSE,FALSE,FALSE
"playboycywiliakrosza","playboy","cywiliakrosza","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"playboyczasopismo","playboy","czasopismo","related","word","word",0.380295355973128,-0.214206594871603,0.697613436416847,0.11468694247754,37,38,41,1,0.926829268292683,35,41,1,0.853658536585366,FALSE,FALSE,FALSE
"playboystrefa","playboy","strefa","unrelated","word","word",0.061925852474819,-0.0584130656627502,1.26348073595155,0.164491181058783,59,60,65,2,0.923076923076923,55,65,2,0.846153846153846,FALSE,TRUE,TRUE
"plażamechaniczny","plaża","mechaniczny","unrelated","word","word",0.0623919561129922,-0.137493967434189,1.10201420449445,0.166134892270458,44,47,51,0,0.92156862745098,46,51,0,0.901960784313726,FALSE,TRUE,FALSE
"plażapioncieństwo","plaża","pioncieństwo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plażawybrzeże","plaża","wybrzeże","related","word","word",0.40864738318253,-0.484409527213612,0.580178764081594,0.0980681101933382,35,36,42,0,0.857142857142857,36,42,0,0.857142857142857,FALSE,FALSE,FALSE
"plecyminister","plecy","minister","unrelated","word","word",0.119642721061786,-0.245360911572728,0.794306014518902,0.115861440054526,47,49,49,1,1,45,49,1,0.918367346938776,FALSE,FALSE,FALSE
"plecypowrót","plecy","powrót","related","word","word",0.168000952038261,-0.712187199606635,0.461646013811814,0.0591077152419232,61,64,67,3,0.955223880597015,63,67,3,0.940298507462687,TRUE,TRUE,TRUE
"plecywyśpotać","plecy","wyśpotać","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pleczaminister","plecza","minister","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pleczaobracert","plecza","obracert","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plikdokument","plik","dokument","related","word","word",0.438628812066419,-0.467986803946944,0.581572966013749,0.0839428271203617,48,49,49,1,1,45,50,0,0.9,FALSE,FALSE,FALSE
"plikniespodziewanie","plik","niespodziewanie","unrelated","word","word",0.113882430991705,0.317571933383367,1.04355759916665,0.157322227434539,44,47,48,0,0.979166666666667,44,48,0,0.916666666666667,FALSE,FALSE,FALSE
"pliksagrzany","plik","sagrzany","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"płomciasto","płom","ciasto","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"płomubole","płom","ubole","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plotkachciezeć zymuczny","plotka","chciezeć zymuczny","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plotkaskandal","plotka","skandal","related","word","word",0.367012769294701,-0.421259680257379,0.584276402321807,0.0891013160331534,43,46,47,1,0.978723404255319,45,46,2,0.978260869565217,FALSE,FALSE,FALSE
"plotkawięzień","plotka","więzień","unrelated","word","word",0.124803351780139,-0.505279428814077,0.546301882646799,0.0750403346865949,53,58,60,3,0.966666666666667,57,60,3,0.95,TRUE,TRUE,TRUE
"plusbroń","plus","broń","unrelated","word","word",0.0708845675194464,-0.766048595841005,0.467157864590201,0.0660660987872716,50,55,55,1,1,54,55,1,0.981818181818182,TRUE,TRUE,TRUE
"plusgadnąć","plus","gadnąć","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plusminus","plus","minus","related","word","word",0.566797355786341,-0.718464258536613,0.425030726211501,0.0640757928734465,44,44,44,1,1,43,44,1,0.977272727272727,FALSE,FALSE,FALSE
"płyta dvdonk","płyta dvd","onk","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"płyta dvdwideo","płyta dvd","wideo","related","word","word",NA,-0.403825628344111,0.721032811178075,0.099041473568929,53,55,56,4,0.982142857142857,32,56,4,0.571428571428571,FALSE,TRUE,TRUE
"płyta dvdże","płyta dvd","że","unrelated","word","word",NA,0.0507804341063466,1.21936834991914,0.185951930071496,43,47,48,1,0.979166666666667,33,48,1,0.6875,FALSE,FALSE,FALSE
"płytaskwąkoncert","płytaskwą","koncert","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"płytaskwąkrsi","płytaskwą","krsi","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poanenauwyż","poane","nauwyż","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poaneprzynęta","poane","przynęta","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pobeznieśeleskotki","pobeznieś","eleskotki","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pobeznieśmiasto","pobeznieś","miasto","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pobittfilan","pobitt","filan","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pobittiść","pobitt","iść","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pobrokjasny","pobrok","jasny","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pobrokpomaumieszczowy","pobrok","pomaumieszczowy","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pocałunekoszustwo","pocałunek","oszustwo","unrelated","word","word",0.128453191081443,-0.339556473946492,0.811650285042877,0.111488740882604,53,56,58,2,0.96551724137931,54,58,2,0.931034482758621,FALSE,TRUE,TRUE
