"word_combo","nl_cue","nl_target","type","cue_type","target_type","nl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"gevensgeoverblijven","gevensge","overblijven","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"geweernegatief","geweer","negatief","unrelated","word","word",0.139783708200621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"geweerpistool","geweer","pistool","related","word","word",0.835150637759803,-0.849311622708611,0.292998607633641,0.0976662025445471,9,9,9,0,1,9,9,0,1,FALSE,FALSE,FALSE
"geweersalg","geweer","salg","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gewichtgedichtgene","gewicht","gedichtgene","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gewichthelikopter","gewicht","helikopter","unrelated","word","word",0.117334250318498,-0.458413476701743,0.273513509476649,0.136756754738324,4,4,5,0,0.8,5,5,0,1,FALSE,FALSE,FALSE
"gewichthoogte","gewicht","hoogte","related","word","word",0.311578227926227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gewoonbestemming","gewoon","bestemming","unrelated","word","word",0.143081906535219,-0.349514146115642,0.842095810151084,0.595451657766611,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"gewooneenvoudig","gewoon","eenvoudig","related","word","word",0.285247533997169,-0.682339673949617,0.230770729865033,0.115385364932516,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"gewoonklron","gewoon","klron","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gezondexcuseren","gezond","excuseren","unrelated","word","word",0.0234666629747414,0.0509363294343452,0.897744025179403,0.448872012589701,4,4,5,0,0.8,5,5,0,1,FALSE,FALSE,FALSE
