"word_combo","pt_cue","pt_target","type","cue_type","target_type","pt_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"fortefraco","forte","fraco","related","word","word",0.555637816022449,-0.346709890517909,1.89386827666716,0.282321213803877,45,49,50,1,0.98,48,50,1,0.96,FALSE,TRUE,FALSE
"forteprecipres","forte","precipres","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fortesuperfície","forte","superfície","unrelated","word","word",0.119080239930708,-0.362270347732141,0.473848426657655,0.0929293220774086,26,28,31,2,0.903225806451613,30,31,2,0.967741935483871,FALSE,FALSE,FALSE
"fracteamizade","fracte","amizade","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fractehorovistidade","fracte","horovistidade","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fragmentoaprescional","fragmento","aprescional","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fragmentopeça","fragmento","peça","related","word","word",0.269363106956365,-0.536122102781315,0.430733416861754,0.0773620054284801,31,33,34,0,0.970588235294118,32,34,0,0.941176470588235,FALSE,FALSE,FALSE
"fragmentozangado","fragmento","zangado","unrelated","word","word",0.0736713903377689,-0.325383564813039,0.549031685919041,0.0837265471699534,43,50,50,1,1,48,50,1,0.96,TRUE,TRUE,FALSE
"fragvidademissão","fragvida","demissão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fragvidagalálers","fragvida","galálers","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fralgachama","fralga","chama","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fralganoair","fralga","noair","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frangoaconselhar","frango","aconselhar","unrelated","word","word",0.01713253625035,-0.125546064610036,0.620633375250337,0.108038403171452,33,37,40,0,0.925,39,40,0,0.975,FALSE,FALSE,FALSE
"frangonek","frango","nek","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frangoperu","frango","peru","related","word","word",0.652910754925783,-0.515722473167566,0.695682140426173,0.117591744183964,35,36,37,0,0.972972972972973,37,37,0,1,FALSE,FALSE,FALSE
"fredtaareia","fredta","areia","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fredtaqueirada","fredta","queirada","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frentarcorajoso","frentar","corajoso","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frentarvêgie","frentar","vêgie","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frenteperma","frente","perma","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frentepresente","frente","presente","unrelated","word","word",0.114034313847236,-0.768682168516933,0.312327421344491,0.0570229246659328,30,32,32,1,1,31,32,1,0.96875,FALSE,FALSE,FALSE
"frentetraseira","frente","traseira","related","word","word",0.367838976108389,-0.429063925388529,0.566864610418847,0.109093145139798,27,29,29,0,1,27,28,1,0.964285714285714,FALSE,FALSE,FALSE
"frequênciaassistente","frequência","assistente","unrelated","word","word",0.077235611280973,-0.375764535901127,0.752482654338548,0.112173491132698,45,47,47,0,1,47,47,0,1,FALSE,FALSE,FALSE
