"word_combo","tr_cue","tr_target","type","cue_type","target_type","tr_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"krisçıiletişim","krisçı","iletişim","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"krisçısınka","krisçı","sınka","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kristivespnt","kristive","spnt","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kristivetatil","kristive","tatil","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kritikpatron","kritik","patron","unrelated","word","word",0.0684981702173395,-0.394434304696365,0.687724443741698,0.062010024794044,123,129,133,5,0.969924812030075,120,133,5,0.902255639097744,TRUE,TRUE,TRUE
"kritikpolitik","kritik","politik","related","word","word",0.378229658600699,-0.522244380490624,0.534598295288611,0.0521714515370317,105,119,121,6,0.983471074380165,113,121,6,0.933884297520661,TRUE,TRUE,TRUE
"kritikyatıimak","kritik","yatıimak","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuannmesaj","kuann","mesaj","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kuannomuzdüncü","kuann","omuzdüncü","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"küfürhainançlamak","küfür","hainançlamak","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"küfürparlaklık","küfür","parlaklık","unrelated","word","word",0.138889143676037,-0.33075100880352,0.787936921008353,0.0719284709212402,120,132,136,6,0.970588235294118,130,136,6,0.955882352941177,TRUE,TRUE,TRUE
"küfüryemin","küfür","yemin","related","word","word",0.380491737478541,-0.54052792689437,0.504727302722807,0.0481238600917031,110,120,122,9,0.983606557377049,119,122,9,0.975409836065574,TRUE,TRUE,TRUE
"kükotenrightsiyon","kükot","enrightsiyon","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kükotitiugh","kükot","itiugh","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kükotparagraf","kükot","paragraf","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kükotyatak","kükot","yatak","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"külbem","kül","bem","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kulebina","kule","bina","related","word","word",0.516771063262352,-0.465141184906423,0.913927202334233,0.0775182935553283,139,145,151,9,0.960264900662252,132,150,10,0.88,TRUE,TRUE,TRUE
"kuleçosat","kule","çosat","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kulekabul","kule","kabul","unrelated","word","word",0.0113842917185006,-0.505976695039406,0.795560023532367,0.0645284388061218,152,163,165,8,0.987878787878788,158,165,8,0.957575757575758,TRUE,TRUE,TRUE
"kullanışlıalş","kullanışlı","alş","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kullanışlıetkili","kullanışlı","etkili","related","word","word",0.464652175999349,-0.442611739388808,0.85164444349248,0.0688513724703896,153,169,175,8,0.965714285714286,167,174,9,0.959770114942529,TRUE,TRUE,TRUE
"kullanışlımeyve","kullanışlı","meyve","unrelated","word","word",0.141656033809337,-0.485338272468792,0.747950541082536,0.0646130856337697,134,141,143,11,0.986013986013986,140,143,11,0.979020979020979,TRUE,TRUE,TRUE
"kullaurentlıaçıkhamet","kullaurentlı","açıkhamet","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kullaurentlıyemek","kullaurentlı","yemek","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"külselamlamak","kül","selamlamak","unrelated","word","word",0.115072863256037,0.0367738329836611,0.794883491722216,0.0686674750514685,134,141,143,5,0.986013986013986,133,144,4,0.923611111111111,TRUE,TRUE,TRUE
"kültoz","kül","toz","related","word","word",0.535554530590532,-0.627577897470832,0.597500026860126,0.0591613183524051,102,108,113,6,0.955752212389381,106,114,5,0.929824561403509,TRUE,TRUE,TRUE
"kültürasabi","kültür","asabi","unrelated","word","word",0.145392364916529,0.0841044934234038,0.929461695126009,0.0828030289831348,126,137,153,3,0.895424836601307,146,151,5,0.966887417218543,TRUE,TRUE,TRUE
"kültürbilim insterfly","kültür","bilim insterfly","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
