"word_combo","es_cue","es_target","type","cue_type","target_type","es_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"talbaohorrible","talbao","horrible","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"talbaopingur","talbao","pingur","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tallerdestar","taller","destar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tallergaraje","taller","garaje","related","word","word",0.599599274237171,-0.172820810769225,0.956581603239763,0.13807066153308,48,50,53,1,0.943396226415094,45,52,2,0.865384615384615,FALSE,TRUE,FALSE
"tallermejilla","taller","mejilla","unrelated","word","word",0.11857661965974,-0.103327499997473,0.905150079388155,0.114038190916735,63,63,64,1,0.984375,53,64,1,0.828125,FALSE,TRUE,TRUE
"talmanacombustible","talmana","combustible","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"talmanadisuisión","talmana","disuisión","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tamañodesconocido","tamaño","desconocido","unrelated","word","word",0.102823534601663,-0.317630008636687,0.60060732957417,0.0974313745450741,38,42,42,1,1,42,42,1,1,FALSE,FALSE,FALSE
"tamañolongitud","tamaño","longitud","related","word","word",0.450891060714441,-0.315243017117623,1.09620789789889,0.142714112436035,59,62,62,0,1,62,62,0,1,FALSE,TRUE,TRUE
"tamañoplobito","tamaño","plobito","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tanbrearzol","tanbre","arzol","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tanbrepapá","tanbre","papá","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tanguadoafosinato","tanguado","afosinato","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tanguadopuerta","tanguado","puerta","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tanoljelamer","tanolje","lamer","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tanoljeráfado","tanolje","ráfado","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"taperialhinestro","taperial","hinestro","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"taperialvender","taperial","vender","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tarchufútbol","tarchu","fútbol","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tarchurestaumente","tarchu","restaumente","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tardelieto","tarde","lieto","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tardelobo","tarde","lobo","unrelated","word","word",0.0527967453785931,-0.390133487348433,1.14502099843833,0.129648098014504,78,79,81,1,0.975308641975309,78,81,1,0.962962962962963,FALSE,TRUE,TRUE
"tardetemprano","tarde","temprano","related","word","word",0.755752032920741,-0.552402071862196,0.647327997926358,0.092475428275194,49,51,51,0,1,50,51,0,0.980392156862745,FALSE,TRUE,FALSE
"tareamisión","tarea","misión","related","word","word",0.626154974344193,-0.550891991595418,0.763867937134151,0.110254839782432,48,50,50,1,1,49,50,1,0.98,FALSE,TRUE,FALSE
"tareasaber","tarea","saber","unrelated","word","word",0.111502763788882,-0.804052360686602,0.471863671142009,0.0703412829857426,45,49,50,0,0.98,50,50,0,1,TRUE,TRUE,FALSE
"tareavoruste","tarea","voruste","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tatuajechamocracia","tatuaje","chamocracia","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tatuajecicatriz","tatuaje","cicatriz","related","word","word",0.545671817690265,-0.412664674975685,0.885875381129204,0.130615199103155,46,48,51,1,0.941176470588235,47,51,1,0.92156862745098,FALSE,TRUE,FALSE
"tatuajemenos","tatuaje","menos","unrelated","word","word",0.101569251737688,-0.567231972792538,0.505389524718541,0.0753390221591312,45,50,50,1,1,48,49,2,0.979591836734694,TRUE,TRUE,FALSE
"taxicorgron","taxi","corgron","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"taxilimusina","taxi","limusina","related","word","word",0.595093498085015,0.578251427388882,1.37521180718945,0.223088813718076,38,40,50,2,0.8,47,50,2,0.94,FALSE,TRUE,FALSE
"taximodesto","taxi","modesto","unrelated","word","word",0.139973056974273,-0.139459426964189,0.692298590658522,0.0909032584131838,58,60,64,3,0.9375,59,64,3,0.921875,FALSE,TRUE,TRUE
"tazacafé","taza","café","related","word","word",0.749065186691769,-0.844896441663053,0.325239617723998,0.0574947848007898,32,33,33,0,1,31,33,0,0.93939393939394,FALSE,FALSE,FALSE
