"word_combo","no_cue","no_target","type","cue_type","target_type","no_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"operativmilliard","operativ","milliard","unrelated","word","word",0.107787298300017,-0.250938419688634,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"opereregate","operere","gate","unrelated","word","word",0.104200682897625,-0.713864541864704,0.60622042311944,0.428662572081534,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"opererekirurgi","operere","kirurgi","related","word","word",0.374425299420151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opereresira","operere","sira","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppfolketelsehøy","oppfolketelse","høy","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppfolketelsekonting","oppfolketelse","konting","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppgaveelektrisk","oppgave","elektrisk","unrelated","word","word",-0.0640657251368898,-1.03915120854067,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"oppgaveoppdrag","oppgave","oppdrag","related","word","word",0.397186325324875,-1.24304898460063,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"oppgaveraont","oppgave","raont","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppholde segforbli","oppholde seg","forbli","related","word","word",NA,-0.367613469958623,0.56232347366959,0.324657608894783,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"oppholde segfoto","oppholde seg","foto","unrelated","word","word",NA,-0.156092887714615,0.671230264132512,0.335615132066256,4,4,4,0,1,4,4,0,1,FALSE,FALSE,FALSE
"oppholde segspahalvti","oppholde seg","spahalvti","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppholdebecaaksent","oppholdebeca","aksent","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppholdebecaarmge","oppholdebeca","armge","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppmerksomhethøst","oppmerksomhet","høst","unrelated","word","word",0.110815425542543,-1.02414236185875,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"oppmerksomhettiltrekke","oppmerksomhet","tiltrekke","related","word","word",0.38201628895362,-0.00149579397341471,1.19946137622004,0.848147272896538,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"oppmerksomhetverdigring","oppmerksomhet","verdigring","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opprettelseødeleggelse","opprettelse","ødeleggelse","related","word","word",0.35796159247289,-0.392510039532282,0.251335790839632,0.177721242057588,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"opprettelsesoloppgang","opprettelse","soloppgang","unrelated","word","word",0.113523627954961,-0.0203292511782028,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"opprettelsetacwort","opprettelse","tacwort","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppriannerledes","oppri","annerledes","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppridødten","oppri","dødten","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppsigelseavskjedigelse","oppsigelse","avskjedigelse","related","word","word",0.665780052143296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppsigelsehengistillhet","oppsigelse","hengistillhet","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppsigelsekvalitet","oppsigelse","kvalitet","unrelated","word","word",0.135058175112667,-0.573313970898264,0.0684477227221271,0.0483998488935926,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"oppsiktsvekkendespektakulær","oppsiktsvekkende","spektakulær","related","word","word",0.370436432260857,1.13928502206588,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"oppsiktsvekkendeung","oppsiktsvekkende","ung","unrelated","word","word",0.144509679936732,1.23626992510357,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"oppsiktsvekkendevindas","oppsiktsvekkende","vindas","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppsiktsvekmathildeblarst","oppsiktsvekmathilde","blarst","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppsiktsvekmathildeentreprenør","oppsiktsvekmathilde","entreprenør","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppsjeldneligtayl","oppsjeldnelig","tayl","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppsjeldneligundersøkelse","oppsjeldnelig","undersøkelse","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"optimiskrediforby","optimiskredi","forby","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"optimiskreditrute","optimiskredi","trute","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"optimistiskjært","optimistisk","jært","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"optimistiskomkrets","optimistisk","omkrets","unrelated","word","word",0.0991920315684994,0.194540955025234,NA,NA,1,1,1,0,1,1,1,0,1,FALSE,FALSE,FALSE
"optimistiskrealistisk","optimistisk","realistisk","related","word","word",0.521532534381682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordbinior","ord","binior","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordbokaperst","ordbok","aperst","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ordboksyk","ordbok","syk","unrelated","word","word",0.0764705583828746,-0.489234124746842,0.203278273719977,0.143739445815291,2,2,2,0,1,2,2,0,1,FALSE,FALSE,FALSE
"ordbokuttrykk","ordbok","uttrykk","related","word","word",0.238109835948267,-0.648398339500765,0.0704418693672635,0.04066963224141,3,3,3,0,1,3,3,0,1,FALSE,FALSE,FALSE
"ordligpsykologi","ordlig","psykologi","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
