"word_combo","pl_cue","pl_target","type","cue_type","target_type","pl_cosine","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"atrakcyjnybabcia","atrakcyjny","babcia","unrelated","word","word",0.103996505775317,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"atrakcyjnyniszczyna","atrakcyjny","niszczyna","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"atrakcyjnyuroczy","atrakcyjny","uroczy","related","word","word",0.565514143745486,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"atypieclienny","atypiec","lienny","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"atypiecnieobecność","atypiec","nieobecność","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"auczęproces","auczę","proces","nonword","nonword","word",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"auczęsepremin","auczę","sepremin","nonword","nonword","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aukcjaoczywiście","aukcja","oczywiście","unrelated","word","word",0.120174203459637,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aukcjaucai","aukcja","ucai","nonword","word","nonword",NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"aukcjawyprzedaż","aukcja","wyprzedaż","related","word","word",0.556336227918321,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"autograffotograf","autograf","fotograf","related","word","word",0.47922409172441,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
"autografpaliwo","autograf","paliwo","unrelated","word","word",0.0974935910280326,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,FALSE,FALSE,FALSE
